Park,SubPark,CEGL,community name,CommunityAlliance,CommunityGroup,CommunityMacroGroup,"Count of plots in subpark, this cegl",gp1,gp2,MP comment
MACA,MACA,CEGL005022,Quercus montana / Smilax spp. Forest,A0248 Chestnut Oak - Scarlet Oak Forest Alliance AKA Quercus prinus - Quercus coccinea Forest Alliance,G015 Appalachian Oak / Chestnut Forest Group,M502 Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland Macrogroup,2,Acidic Oak-Hickory,Acidic Oak-Hickory,Q. prinus/montana
CARL,CARL,CEGL006271,"Quercus (montana, coccinea) / Kalmia latifolia / (Galax urceolata, Gaultheria procumbens) Forest",A0248 Chestnut Oak - Scarlet Oak Forest Alliance AKA Quercus prinus - Quercus coccinea Forest Alliance,G015 Appalachian Oak / Chestnut Forest Group,M502 Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland Macrogroup,2,Acidic Oak-Hickory,Acidic Oak-Hickory,Q. prinus/montana
CUGA,CUGA,CEGL006271,"Quercus (montana, coccinea) / Kalmia latifolia / (Galax urceolata, Gaultheria procumbens) Forest",A0248 Chestnut Oak - Scarlet Oak Forest Alliance AKA Quercus prinus - Quercus coccinea Forest Alliance,G015 Appalachian Oak / Chestnut Forest Group,M502 Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland Macrogroup,5,Acidic Oak-Hickory,Acidic Oak-Hickory,Q. prinus/montana
KIMO,KIMO,CEGL006281,Quercus montana - Quercus alba / Oxydendrum arboreum / Vitis rotundifolia Forest,A0248 Chestnut Oak - Scarlet Oak Forest Alliance AKA Quercus prinus - Quercus coccinea Forest Alliance,G015 Appalachian Oak / Chestnut Forest Group,M502 Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland Macrogroup,11,Acidic Oak-Hickory,Acidic Oak-Hickory,Q. prinus/montana
KIMO,KIMO,CEGL008431,Quercus montana - (Quercus coccinea) / Carya pallida / Vaccinium arboreum - Vaccinium pallidum Forest,A0248 Chestnut Oak - Scarlet Oak Forest Alliance AKA Quercus prinus - Quercus coccinea Forest Alliance,G015 Appalachian Oak / Chestnut Forest Group,M502 Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland Macrogroup,8,Acidic Oak-Hickory,Acidic Oak-Hickory,Q. prinus/montana
LIRI,LIRI,CEGL008431,Quercus montana - (Quercus coccinea) / Carya pallida / Vaccinium arboreum - Vaccinium pallidum Forest,A0248 Chestnut Oak - Scarlet Oak Forest Alliance AKA Quercus prinus - Quercus coccinea Forest Alliance,G015 Appalachian Oak / Chestnut Forest Group,M502 Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland Macrogroup,6,Acidic Oak-Hickory,Acidic Oak-Hickory,Q. prinus/montana
RUCA,RUCA,CEGL008431,Quercus montana - (Quercus coccinea) / Carya pallida / Vaccinium arboreum - Vaccinium pallidum Forest,A0248 Chestnut Oak - Scarlet Oak Forest Alliance AKA Quercus prinus - Quercus coccinea Forest Alliance,G015 Appalachian Oak / Chestnut Forest Group,M502 Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland Macrogroup,10,Acidic Oak-Hickory,Acidic Oak-Hickory,Q. prinus/montana
CARL,CARL,CEGL006286,Quercus montana - Quercus rubra / Rhododendron maximum / Galax urceolata Forest,A0250 Chestnut Oak - Northern Red Oak Forest Alliance AKA Quercus prinus - Quercus rubra Forest Alliance,G015 Appalachian Oak / Chestnut Forest Group,M502 Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland Macrogroup,8,Acidic Oak-Hickory,Acidic Oak-Hickory,Q. prinus/montana
CUGA,CUGA,CEGL006286,Quercus montana - Quercus rubra / Rhododendron maximum / Galax urceolata Forest,A0250 Chestnut Oak - Northern Red Oak Forest Alliance AKA Quercus prinus - Quercus rubra Forest Alliance,G015 Appalachian Oak / Chestnut Forest Group,M502 Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland Macrogroup,4,Acidic Oak-Hickory,Acidic Oak-Hickory,Q. prinus/montana
CARL,CARL,CEGL007267,Quercus montana - (Quercus rubra) - Carya spp. / Oxydendrum arboreum - Cornus florida Forest,A0250 Chestnut Oak - Northern Red Oak Forest Alliance AKA Quercus prinus - Quercus rubra Forest Alliance,G015 Appalachian Oak / Chestnut Forest Group,M502 Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland Macrogroup,4,Acidic Oak-Hickory,Acidic Oak-Hickory,Q. prinus/montana
CUGA,CUGA,CEGL007267,Quercus montana - (Quercus rubra) - Carya spp. / Oxydendrum arboreum - Cornus florida Forest,A0250 Chestnut Oak - Northern Red Oak Forest Alliance AKA Quercus prinus - Quercus rubra Forest Alliance,G015 Appalachian Oak / Chestnut Forest Group,M502 Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland Macrogroup,17,Acidic Oak-Hickory,Acidic Oak-Hickory,Q. prinus/montana
RUCA,RUCA,CEGL007268,Quercus montana - Carya ovata - Quercus rubra / Acer saccharum Forest,A0250 Chestnut Oak - Northern Red Oak Forest Alliance AKA Quercus prinus - Quercus rubra Forest Alliance,G015 Appalachian Oak / Chestnut Forest Group,M502 Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland Macrogroup,4,Acidic Oak-Hickory,Acidic Oak-Hickory,Q. prinus/montana
CARL,CARL,CEGL007519,"Pinus strobus - Quercus (coccinea, montana) / (Gaylussacia ursina, Vaccinium stamineum) Forest",A2080 Eastern White Pine - Chestnut Oak Appalachian Forest Alliance AKA Pinus strobus - Quercus prinus Appalachian Forest Alliance,G015 Appalachian Oak / Chestnut Forest Group,M502 Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland Macrogroup,8,Acidic Oak-Hickory,Acidic Oak-Hickory,Q. prinus/montana
KIMO,KIMO,CEGL003708,Quercus montana - Quercus marilandica Piedmont Woodland,A3289 Chestnut Oak - Southern Red Oak Forest Alliance AKA Quercus prinus - Quercus falcata Forest Alliance,G159 South-Central Interior Oak Forest & Woodland Group,M016 Southern & South-Central Oak - Pine Forest & Woodland Macrogroup,2,Acidic Oak-Hickory,Acidic Oak-Hickory,Q. prinus/montana
LIRI,LIRI,CEGL004098,"Quercus (alba, coccinea, falcata, velutina) / Kalmia latifolia Forest",A3289 Chestnut Oak - Southern Red Oak Forest Alliance AKA Quercus prinus - Quercus falcata Forest Alliance,G159 South-Central Interior Oak Forest & Woodland Group,M016 Southern & South-Central Oak - Pine Forest & Woodland Macrogroup,1,Acidic Oak-Hickory,Acidic Oak-Hickory,Q. prinus/montana
CHCH,LOOK,CEGL007700,"Quercus montana - Quercus spp. / Vaccinium arboreum - (Kalmia latifolia, Styrax grandifolius) Forest",A3289 Chestnut Oak - Southern Red Oak Forest Alliance AKA Quercus prinus - Quercus falcata Forest Alliance,G159 South-Central Interior Oak Forest & Woodland Group,M016 Southern & South-Central Oak - Pine Forest & Woodland Macrogroup,19,Acidic Oak-Hickory,Acidic Oak-Hickory,Q. prinus/montana
MACA,MACA,CEGL007700,"Quercus montana - Quercus spp. / Vaccinium arboreum - (Kalmia latifolia, Styrax grandifolius) Forest",A3289 Chestnut Oak - Southern Red Oak Forest Alliance AKA Quercus prinus - Quercus falcata Forest Alliance,G159 South-Central Interior Oak Forest & Woodland Group,M016 Southern & South-Central Oak - Pine Forest & Woodland Macrogroup,1,Acidic Oak-Hickory,Acidic Oak-Hickory,Q. prinus/montana
CHCH,LOOK,CEGL008430,Quercus alba - (Quercus montana) / (Hydrangea quercifolia) - Viburnum acerifolium / Carex picta Forest,A3289 Chestnut Oak - Southern Red Oak Forest Alliance AKA Quercus prinus - Quercus falcata Forest Alliance,G159 South-Central Interior Oak Forest & Woodland Group,M016 Southern & South-Central Oak - Pine Forest & Woodland Macrogroup,2,Acidic Oak-Hickory,Acidic Oak-Hickory,Q. prinus/montana
LIRI,LIRI,CEGL008430,Quercus alba - (Quercus montana) / (Hydrangea quercifolia) - Viburnum acerifolium / Carex picta Forest,A3289 Chestnut Oak - Southern Red Oak Forest Alliance AKA Quercus prinus - Quercus falcata Forest Alliance,G159 South-Central Interior Oak Forest & Woodland Group,M016 Southern & South-Central Oak - Pine Forest & Woodland Macrogroup,8,Acidic Oak-Hickory,Acidic Oak-Hickory,Q. prinus/montana
CHCH,CHIC,CEGL006017,Acer saccharum - Quercus muehlenbergii / Cercis canadensis Forest,A2047 Chinquapin Oak - Sugar Maple - American Basswood Forest Alliance AKA Quercus muehlenbergii - Acer saccharum - Tilia americana Forest Alliance,G016 Northeastern Chinquapin Oak - Red-cedar Alkaline Forest & Woodland Group,M502 Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland Macrogroup,1,Mixed mesophytic / Mesic Oak,Circumneutral Dry-Mesic Oak-Hardwood,
ABLI,KNOB,CEGL002070,Quercus alba - Quercus rubra - Quercus muehlenbergii / Cercis canadensis Forest,A2060 Chinquapin Oak - Sugar Maple - White Ash Forest Alliance AKA Quercus muehlenbergii - Acer saccharum - Fraxinus americana Forest Alliance,G601 Chinquapin Oak - Shumard Oak - Blue Ash Alkaline Forest & Woodland Group,M016 Southern & South-Central Oak - Pine Forest & Woodland Macrogroup,10,Mixed mesophytic / Mesic Oak,Circumneutral Dry-Mesic Oak-Hardwood,tricky - these can be dry/dry--mesic…?
FODO,DONE,CEGL002070,Quercus alba - Quercus rubra - Quercus muehlenbergii / Cercis canadensis Forest,A2060 Chinquapin Oak - Sugar Maple - White Ash Forest Alliance AKA Quercus muehlenbergii - Acer saccharum - Fraxinus americana Forest Alliance,G601 Chinquapin Oak - Shumard Oak - Blue Ash Alkaline Forest & Woodland Group,M016 Southern & South-Central Oak - Pine Forest & Woodland Macrogroup,8,Mixed mesophytic / Mesic Oak,Circumneutral Dry-Mesic Oak-Hardwood,tricky - these can be dry/dry--mesic…?
FODO,HEIM,CEGL002070,Quercus alba - Quercus rubra - Quercus muehlenbergii / Cercis canadensis Forest,A2060 Chinquapin Oak - Sugar Maple - White Ash Forest Alliance AKA Quercus muehlenbergii - Acer saccharum - Fraxinus americana Forest Alliance,G601 Chinquapin Oak - Shumard Oak - Blue Ash Alkaline Forest & Woodland Group,M016 Southern & South-Central Oak - Pine Forest & Woodland Macrogroup,2,Mixed mesophytic / Mesic Oak,Circumneutral Dry-Mesic Oak-Hardwood,tricky - these can be dry/dry--mesic…?
MACA,MACA,CEGL002070,Quercus alba - Quercus rubra - Quercus muehlenbergii / Cercis canadensis Forest,A2060 Chinquapin Oak - Sugar Maple - White Ash Forest Alliance AKA Quercus muehlenbergii - Acer saccharum - Fraxinus americana Forest Alliance,G601 Chinquapin Oak - Shumard Oak - Blue Ash Alkaline Forest & Woodland Group,M016 Southern & South-Central Oak - Pine Forest & Woodland Macrogroup,3,Mixed mesophytic / Mesic Oak,Circumneutral Dry-Mesic Oak-Hardwood,tricky - these can be dry/dry--mesic…?
RUCA,RUCA,CEGL002070,Quercus alba - Quercus rubra - Quercus muehlenbergii / Cercis canadensis Forest,A2060 Chinquapin Oak - Sugar Maple - White Ash Forest Alliance AKA Quercus muehlenbergii - Acer saccharum - Fraxinus americana Forest Alliance,G601 Chinquapin Oak - Shumard Oak - Blue Ash Alkaline Forest & Woodland Group,M016 Southern & South-Central Oak - Pine Forest & Woodland Macrogroup,6,Mixed mesophytic / Mesic Oak,Circumneutral Dry-Mesic Oak-Hardwood,tricky - these can be dry/dry--mesic…?
SHIL,SHIL,CEGL002070,Quercus alba - Quercus rubra - Quercus muehlenbergii / Cercis canadensis Forest,A2060 Chinquapin Oak - Sugar Maple - White Ash Forest Alliance AKA Quercus muehlenbergii - Acer saccharum - Fraxinus americana Forest Alliance,G601 Chinquapin Oak - Shumard Oak - Blue Ash Alkaline Forest & Woodland Group,M016 Southern & South-Central Oak - Pine Forest & Woodland Macrogroup,1,Mixed mesophytic / Mesic Oak,Circumneutral Dry-Mesic Oak-Hardwood,tricky - these can be dry/dry--mesic…?
STRI,STRI,CEGL003876,Quercus imbricaria - Quercus shumardii - Quercus muehlenbergii / Celtis occidentalis / Urtica chamaedryoides Forest,A2060 Chinquapin Oak - Sugar Maple - White Ash Forest Alliance AKA Quercus muehlenbergii - Acer saccharum - Fraxinus americana Forest Alliance,G601 Chinquapin Oak - Shumard Oak - Blue Ash Alkaline Forest & Woodland Group,M016 Southern & South-Central Oak - Pine Forest & Woodland Macrogroup,1,Mixed mesophytic / Mesic Oak,Circumneutral Dry-Mesic Oak-Hardwood,
STRI,STRI,CEGL007699,"Quercus muehlenbergii - Quercus (shumardii, stellata) / Cercis canadensis / Viburnum rufidulum Forest",A2060 Chinquapin Oak - Sugar Maple - White Ash Forest Alliance AKA Quercus muehlenbergii - Acer saccharum - Fraxinus americana Forest Alliance,G601 Chinquapin Oak - Shumard Oak - Blue Ash Alkaline Forest & Woodland Group,M016 Southern & South-Central Oak - Pine Forest & Woodland Macrogroup,3,Mixed mesophytic / Mesic Oak,Circumneutral Dry-Mesic Oak-Hardwood,tricky - these can be dry/dry--mesic…?
CHCH,CHIC,CEGL007808,"Quercus muehlenbergii - Quercus shumardii - Carya (carolinae-septentrionalis, ovata) Forest",A2060 Chinquapin Oak - Sugar Maple - White Ash Forest Alliance AKA Quercus muehlenbergii - Acer saccharum - Fraxinus americana Forest Alliance,G601 Chinquapin Oak - Shumard Oak - Blue Ash Alkaline Forest & Woodland Group,M016 Southern & South-Central Oak - Pine Forest & Woodland Macrogroup,7,Mixed mesophytic / Mesic Oak,Circumneutral Dry-Mesic Oak-Hardwood,
STRI,STRI,CEGL007808,"Quercus muehlenbergii - Quercus shumardii - Carya (carolinae-septentrionalis, ovata) Forest",A2060 Chinquapin Oak - Sugar Maple - White Ash Forest Alliance AKA Quercus muehlenbergii - Acer saccharum - Fraxinus americana Forest Alliance,G601 Chinquapin Oak - Shumard Oak - Blue Ash Alkaline Forest & Woodland Group,M016 Southern & South-Central Oak - Pine Forest & Woodland Macrogroup,4,Mixed mesophytic / Mesic Oak,Circumneutral Dry-Mesic Oak-Hardwood,
MACA,MACA,CEGL008442,"Quercus shumardii - Quercus muehlenbergii - Acer (floridanum, saccharum) / Ostrya virginiana Forest",A2060 Chinquapin Oak - Sugar Maple - White Ash Forest Alliance AKA Quercus muehlenbergii - Acer saccharum - Fraxinus americana Forest Alliance,G601 Chinquapin Oak - Shumard Oak - Blue Ash Alkaline Forest & Woodland Group,M016 Southern & South-Central Oak - Pine Forest & Woodland Macrogroup,6,Mixed mesophytic / Mesic Oak,Circumneutral Dry-Mesic Oak-Hardwood,
RUCA,RUCA,CEGL008442,"Quercus shumardii - Quercus muehlenbergii - Acer (floridanum, saccharum) / Ostrya virginiana Forest",A2060 Chinquapin Oak - Sugar Maple - White Ash Forest Alliance AKA Quercus muehlenbergii - Acer saccharum - Fraxinus americana Forest Alliance,G601 Chinquapin Oak - Shumard Oak - Blue Ash Alkaline Forest & Woodland Group,M016 Southern & South-Central Oak - Pine Forest & Woodland Macrogroup,10,Mixed mesophytic / Mesic Oak,Circumneutral Dry-Mesic Oak-Hardwood,
MACA,MACA,CEGL004267,Quercus muehlenbergii - (Juniperus virginiana var. virginiana) Unglaciated Bluff Woodland,A3273 Chinquapin Oak - Blue Ash - Eastern Red-cedar Woodland Alliance AKA Quercus muehlenbergii - Fraxinus quadrangulata - Juniperus virginiana Woodland Alliance,G601 Chinquapin Oak - Shumard Oak - Blue Ash Alkaline Forest & Woodland Group,M016 Southern & South-Central Oak - Pine Forest & Woodland Macrogroup,1,Mixed mesophytic / Mesic Oak,Circumneutral Dry-Mesic Oak-Hardwood,
MACA,MACA,CEGL005018,Quercus falcata - Quercus alba - Quercus stellata - Quercus velutina Forest,A3291 Post Oak - Southern Red Oak - White Oak Interior Low Plateau Woodland Alliance AKA Quercus stellata - Quercus falcata - Quercus alba Interior Low Plateau Woodland Alliance,G159 South-Central Interior Oak Forest & Woodland Group,M016 Southern & South-Central Oak - Pine Forest & Woodland Macrogroup,6,Acidic Oak-Hickory,Dry-mesic Oak-Hickory,"not sure about ""acidic""; why not just ""dry-mesic"""
COWP,COWP,CEGL007244,Quercus falcata - Quercus alba - Carya tomentosa / Oxydendrum arboreum / Vaccinium stamineum Forest,A3291 Post Oak - Southern Red Oak - White Oak Interior Low Plateau Woodland Alliance AKA Quercus stellata - Quercus falcata - Quercus alba Interior Low Plateau Woodland Alliance,G159 South-Central Interior Oak Forest & Woodland Group,M016 Southern & South-Central Oak - Pine Forest & Woodland Macrogroup,6,Acidic Oak-Hickory,Dry-mesic Oak-Hickory,"not sure about ""acidic""; why not just ""dry-mesic"""
GUCO,GUCO,CEGL007244,Quercus falcata - Quercus alba - Carya tomentosa / Oxydendrum arboreum / Vaccinium stamineum Forest,A3291 Post Oak - Southern Red Oak - White Oak Interior Low Plateau Woodland Alliance AKA Quercus stellata - Quercus falcata - Quercus alba Interior Low Plateau Woodland Alliance,G159 South-Central Interior Oak Forest & Woodland Group,M016 Southern & South-Central Oak - Pine Forest & Woodland Macrogroup,5,Acidic Oak-Hickory,Dry-mesic Oak-Hickory,"not sure about ""acidic""; why not just ""dry-mesic"""
KIMO,KIMO,CEGL007244,Quercus falcata - Quercus alba - Carya tomentosa / Oxydendrum arboreum / Vaccinium stamineum Forest,A3291 Post Oak - Southern Red Oak - White Oak Interior Low Plateau Woodland Alliance AKA Quercus stellata - Quercus falcata - Quercus alba Interior Low Plateau Woodland Alliance,G159 South-Central Interior Oak Forest & Woodland Group,M016 Southern & South-Central Oak - Pine Forest & Woodland Macrogroup,5,Acidic Oak-Hickory,Dry-mesic Oak-Hickory,"not sure about ""acidic""; why not just ""dry-mesic"""
LIRI,LIRI,CEGL007244,Quercus falcata - Quercus alba - Carya tomentosa / Oxydendrum arboreum / Vaccinium stamineum Forest,A3291 Post Oak - Southern Red Oak - White Oak Interior Low Plateau Woodland Alliance AKA Quercus stellata - Quercus falcata - Quercus alba Interior Low Plateau Woodland Alliance,G159 South-Central Interior Oak Forest & Woodland Group,M016 Southern & South-Central Oak - Pine Forest & Woodland Macrogroup,10,Acidic Oak-Hickory,Dry-mesic Oak-Hickory,"not sure about ""acidic""; why not just ""dry-mesic"""
SHIL,SHIL,CEGL007244,Quercus falcata - Quercus alba - Carya tomentosa / Oxydendrum arboreum / Vaccinium stamineum Forest,A3291 Post Oak - Southern Red Oak - White Oak Interior Low Plateau Woodland Alliance AKA Quercus stellata - Quercus falcata - Quercus alba Interior Low Plateau Woodland Alliance,G159 South-Central Interior Oak Forest & Woodland Group,M016 Southern & South-Central Oak - Pine Forest & Woodland Macrogroup,8,Acidic Oak-Hickory,Dry-mesic Oak-Hickory,"not sure about ""acidic""; why not just ""dry-mesic"""
CHCH,CHIC,CEGL007247,"Quercus falcata - Quercus (coccinea, stellata) / Vaccinium (pallidum, stamineum) Forest",A3291 Post Oak - Southern Red Oak - White Oak Interior Low Plateau Woodland Alliance AKA Quercus stellata - Quercus falcata - Quercus alba Interior Low Plateau Woodland Alliance,G159 South-Central Interior Oak Forest & Woodland Group,M016 Southern & South-Central Oak - Pine Forest & Woodland Macrogroup,11,Acidic Oak-Hickory,Dry-mesic Oak-Hickory,"not sure about ""acidic""; why not just ""dry-mesic"""
CHCH,CHIC,CEGL007709,Quercus alba - Carya ovata - Liriodendron tulipifera - (Quercus phellos) / Cornus florida Forest,A3291 Post Oak - Southern Red Oak - White Oak Interior Low Plateau Woodland Alliance AKA Quercus stellata - Quercus falcata - Quercus alba Interior Low Plateau Woodland Alliance,G159 South-Central Interior Oak Forest & Woodland Group,M016 Southern & South-Central Oak - Pine Forest & Woodland Macrogroup,1,Acidic Oak-Hickory,Dry-mesic Oak-Hickory,"not sure about ""acidic""; why not just ""dry-mesic"""
MACA,MACA,CEGL007795,Quercus alba - Carya tomentosa - (Quercus velutina) / Desmodium nudiflorum - (Carex picta) Forest,A3291 Post Oak - Southern Red Oak - White Oak Interior Low Plateau Woodland Alliance AKA Quercus stellata - Quercus falcata - Quercus alba Interior Low Plateau Woodland Alliance,G159 South-Central Interior Oak Forest & Woodland Group,M016 Southern & South-Central Oak - Pine Forest & Woodland Macrogroup,27,Acidic Oak-Hickory,Dry-mesic Oak-Hickory,"not sure about ""acidic""; why not just ""dry-mesic"""
